name	Fold change	p-value	G2-1	G2-2	G2-3	G2-4	G2-5	G2-6	G2-7	G2-8	G2-9	G2-10	G3-1	G3-2	G3-3	G3-4	G3-5	G3-6	G3-7	G3-8	G3-9	G3-10
M103T278	0.166953829	0.002922006	511.8900825	7774.157473	7993.626	3554.753143	3429.290975	2771.041559	3769.524784	8253.20705	16167.26549	5473.464017	4775.971429	51131.91353	14092.4988	90968.63118	50710.35754	58744.94751	23503.39007	32732.41354	7531.160748	23381.9494
M141T333_2	1.669759487	0.002605023	8926254.334	14313125.78	13245076.01	16026679.67	14294826.19	10892556.11	14799835.87	15199383.48	13953700.39	14433917.47	13453984.29	6891176.664	17600859.43	6969280.248	3765187.969	5163487.525	7127510.931	9140275.41	2839044.974	8549166.858
M257T423	0.479041826	0.047739223	9515.197579	171139.0177	66194.88694	160547.0146	123202.4555	82530.80468	71242.19631	56792.36273	113196.7018	117747.9596	292545.8498	96888.50841	98988.20314	115091.432	546766.6053	157754.8349	335121.0093	166505.6687	52166.9301	167448.0357
M313T81	0.438730977	0.008412881	7882.719352	51991.12678	44081.56083	8155.502296	23567.2331	20573.29476	18623.25037	22842.77816	16631.63117	14363.87295	57849.67521	21407.79007	15779.50293	53486.84721	29313.84548	46710.68394	101758.5978	40979.4377	65727.72655	88291.61744
M295T58	0.522964466	0.030832591	40939.096	438006.7338	296058.6817	81532.61915	340471.8126	533308.5907	392343.9432	512885.8085	53987.25701	114771.142	253385.0631	201121.3023	441193.4525	710477.4794	186131.5252	854222.419	1050666.43	536895.2824	473034.3525	655198.1807
M346T409	1.727292974	0.03565447	14546.75893	375677.6377	151755.2316	234769.4559	343095.2648	175555.2321	199037.2746	123939.5516	142457.1241	181048.3402	159703.1636	122428.1764	118386.8916	54864.32801	130121.427	156136.9314	124397.515	108908.598	16509.43612	132777.7542
M132T407_2	2.050689496	0.006202175	64129.71232	1798563.824	1736838.825	1889916.536	3427092.687	2733115.486	2571833.774	1889634.766	1486694.39	1785139.93	1954046.789	1120965.131	1288693.931	390385.3756	873465.5496	1186436.402	1009987.917	543536.49	255772.6895	828633.0738
M265T296	0.175824562	0.000123712	8536.460575	7533.325272	2098.379025	4402.956347	9810.50652	3496.285737	4186.337121	5508.054246	715.9863952	7741.406649	7893.100236	25811.26031	23735.37262	54599.8187	34326.99787	54680.29143	43695.98201	26838.90003	11061.53196	24649.97675
M165T148	2.237760778	0.004903908	109311.4015	45944.10435	139218.6878	318760.9273	205365.3261	158700.8027	104951.5337	178550.4989	254191.6874	313948.735	135628.2085	81768.82168	25192.27786	55349.02788	55297.4209	81701.59966	94184.64683	158333.502	36813.81928	93040.42662
M89T296	0.411700861	0.001442311	10353.9707	57998.98158	23960.26493	41861.76949	51252.07828	48603.24134	58642.98911	25279.15915	32530.13205	48174.62587	16481.04422	96351.9284	78436.31826	162971.1743	109292.3525	158195.7986	111392.6426	113365.2545	51378.00776	70453.13485
M149T151	1.641870354	0.013134841	4105.322164	206891.7823	169572.9238	208148.6339	221199.4275	157081.0144	232208.6663	176829.7497	160674.1238	201826.9873	109779.7932	135112.2693	97650.04753	109946.1473	89389.50574	150465.5749	156010.7516	118893.9108	2136.673431	89492.25114
M114T306	1.697729788	0.007910981	5775.590545	296849.5088	349878.7404	315766.4033	453868.3908	423900.3012	364413.4042	328193.315	330409.1873	476992.7842	178222.1148	224384.0298	227839.6284	239823.5831	139041.3687	320236.4941	219427.1014	155477.3282	86127.20507	180316.4259
M181T295_3	0.01992623	0.000265544	6225.886807	107262.8638	97615.74049	130230.0784	101050.9825	154684.4891	217601.782	89155.86456	368566.9473	108659.759	230513.801	8334612.786	3903437.345	16443993.38	9801728.243	11624393.51	6522035.716	3273864.71	3606470.909	5567314.76
M611T497	1.905495908	0.037243936	112402.3468	1855459.17	482272.8968	1696415.965	955674.5878	425112.0301	857930.139	610872.671	1053140.049	1538585.342	389005.7847	407019.0233	593537.7029	487912.5508	525410.7298	904995.6745	572504.698	891238.7059	48107.52781	211957.8618
M282T260	2.244673205	0.006576	42432.28886	983806.1811	764069.2199	1327299.879	1223468.472	778759.261	955052.9608	245508.335	849992.04	1098011.025	566430.7969	774771.7941	102975.0488	217698.1089	371134.4508	639596.2838	372405.771	418742.1268	21517.02521	198293.5968
M212T29	3.239318687	0.004543142	234037.7544	175548.4795	989695.5382	102555.927	949767.7116	684819.3194	1103319.768	740131.9788	1393197.093	431266.3261	481689.2904	170004.8863	122424.8589	431461.2868	151974.6912	300713.7194	59614.42321	100950.0942	132483.1454	149230.2172
M88T406_2	2.408883875	0.005519605	11805.04706	283874.0597	606565.0532	526646.7592	1040027.61	648624.1715	749724.4562	457535.8507	262700.282	654572.1682	330320.1099	189454.6496	219111.0649	59753.45036	165751.6117	313097.0387	380860.0604	282684.8526	92096.22805	143013.7986
M173T501_2	1.542611406	0.0158118	4515.466797	229980.3675	196191.1864	191815.5808	308665.27	248062.3198	250449.9975	187837.9359	194012.0551	216022.4425	133647.7756	168860.53	138672.0931	113285.6113	117739.5702	146532.0995	170015.0804	152989.0754	81303.52289	91318.46293
M225T359_2	3.319451815	4.71E-06	116469.1368	93872.32563	70778.4781	124382.4042	140365.573	100826.3185	112008.6195	53577.84856	132830.2781	108109.0681	4887.622987	67916.97398	28115.55143	21707.10943	63593.62309	5470.617141	57071.98913	38725.28848	6866.043797	22932.52468
M146T400_2	1.528986855	0.029021522	141199.1023	3659763.504	3731880.265	4479020.829	5149499.83	4427368.731	4368319.894	2645574.887	3704136.97	3880054.123	2836167.449	3126305.039	1847343.376	2526543.741	2760024.706	3990928.505	2462710.699	1347753.35	763176.0265	2006234.313
M203T394	0.101720911	0.03204936	2289.990003	5653.297362	2376.589856	4763.756711	3568.80743	3057.589951	6022.074285	10679.69064	5935.467293	7736.252327	5444.207966	44454.9451	59959.67504	47471.12126	219687.3676	41773.37409	21704.01727	53775.23429	4864.607669	12889.1341
M130T260_2	2.182494616	0.00112839	104304.5372	4962987.519	4194188.959	5655212.87	5769257.48	5214049.898	4078419.269	2901033.939	4200698.619	5475674.03	1722195.595	2816456.202	1790629.736	1916487.804	1662618.06	2582550.941	3112699.524	2182702.182	301833.6369	1410535.183
M145T509_2	1.535014886	0.020527576	24934.46811	490036.9088	421958.6291	549134.3175	739034.5376	621302.7953	490638.5407	421582.2635	411027.8084	537067.8104	290211.6063	450228.1436	383569.7266	224486.9158	267779.5636	332973.2971	369133.8328	296706.1027	156765.2705	294381.6551
M148T279_2	1.939289661	0.004572695	4969.310176	179087.7363	122509.7081	196124.8939	241493.6743	193825.3111	174585.522	103229.8458	138885.0122	194739.2376	75951.25199	123809.4506	72461.40699	72013.77093	65829.07072	101941.3396	111121.9707	92522.83506	11336.33828	71990.8109
M164T252	2.100104733	0.001575039	72470.17532	2470058.539	2097927.699	3024629.819	3317580.218	2703289.074	2293909.013	1478610.913	2245936.979	2725101.973	963856.4206	1563503.294	1003435.711	1111953.729	940467.0018	1334651.488	1610132.269	1077595.434	220267.1562	854325.9884
M128T400	1.560966944	0.023454839	59183.16085	1471851.028	1396075.437	1755651.627	2004783.579	1687553.471	1658820.492	1024345.73	1437389.31	1571549.222	1030519.262	1163527.462	737214.8336	944134.5029	1041661.873	1572090.604	963643.8046	535916.0889	276132.8824	747010.6766
M163T295	0.013409862	0.000216556	512.3106446	3358.595419	2506.949035	2323.341961	1709.625959	3195.127993	5503.843737	2593.585739	9011.064228	1646.307669	7773.945021	303585.5759	138721.2763	543210.1961	363829.4687	416418.426	217197.9159	113651.9692	122245.5722	186571.1639
M118T348_2	1.62142446	0.029916941	4622.819782	268062.9152	247368.6625	307663.9289	444318.1253	261696.1017	257431.3322	176346.3377	333453.2525	308855.1145	157092.1925	211474.1065	135010.8939	189332.708	161574.6173	305186.8848	166427.7315	113879.2611	26300.90667	143304.5261
M203T254_1	2.989116919	0.011082811	19636.0175	104990.7894	78723.14324	369204.7563	149979.9015	137251.5339	94264.06407	64129.10643	184856.7948	280316.7757	41325.51246	82930.65518	31328.16773	44291.90545	33196.52386	62081.12184	67578.51428	106802.7396	1320.765447	25395.30243
M180T297_2	2.307385546	0.005653181	19357.1891	121161.4726	116768.551	282326.9442	156574.6037	179483.8044	119512.0508	84286.65599	241548.2582	239003.3886	62881.52437	94744.39277	46041.77971	69763.3905	46556.71353	77759.49078	73653.51304	151005.6312	9742.472763	43950.89674
M241T63	1.429557235	0.02281873	824021.1558	874466.2225	586292.8524	516340.7374	497329.2476	741200.1737	500094.3569	472443.8698	450876.9261	502774.9375	362987.3511	499790.3766	665046.8617	440776.7028	427902.2812	604377.657	425546.1818	363036.7352	60803.4711	322940.9335
M116T297_2	2.003820968	0.0015836	8826.871569	1589093.263	1467596.199	1413236.212	2011916.782	1849652.742	1506716.749	1162464.847	1324588.472	1726964.434	808770.9986	915189.9209	793674.2127	629473.4556	581676.2894	792014.8309	1040938.96	640386.469	165375.0429	649622.0046
M303T453	2.119972867	0.022787256	58256.63119	2315060.541	1440263.99	1640371.291	3561855.821	1523098.763	1734765.248	685055.3201	1969716.356	2925523.108	773208.0962	908531.7599	1259271.012	634493.2192	122752.0027	2313945.761	705797.4782	1150073.713	78595.99764	475121.3278
M190T201	2.119457808	0.002302526	8527.011228	162814.9845	102232.2552	184134.0973	169340.8722	107594.4374	163815.3252	103837.535	142473.0283	174215.7967	78312.64898	101466.0865	35950.20564	53114.09927	73239.97362	100455.8826	45389.63205	90833.79512	3053.340876	40506.39259
M281T79	1.6421342	0.040912605	466916.4748	5094235.997	2868058.334	3095866.693	967463.2714	3566130.078	3202877.348	2728602.459	2375807.988	2318563.296	2308423.745	563112.6704	2218015.569	1240095.563	1990315.83	825122.8423	1149870.157	2416995.479	965840.7345	2572110.696
M218T274	2.038810641	0.006057527	114921.8754	562165.6936	506221.3364	267393.382	755115.0195	484515.3397	682688.2653	403792.5231	690924.9369	1003716.003	261524.865	343620.0551	203415.4304	321585.2255	192154.4666	532157.3968	285635.9388	179264.5647	59395.26235	304896.8915
M242T382	1.632694829	0.01875492	86537.24163	637683.9712	620279.8889	756449.4739	410890.0145	460086.986	624324.7203	397732.4399	794359.6695	469698.0606	256577.0734	324120.0024	243736.4039	416404.2454	283834.9202	530845.5303	321372.2923	507649.0643	51340.506	284588.5848
