name	Fold change	p-value	G2-1	G2-2	G2-3	G2-4	G2-5	G2-6	G2-7	G2-8	G2-9	G2-10	G3-1	G3-2	G3-3	G3-4	G3-5	G3-6	G3-7	G3-8	G3-9	G3-10
M295T105	0.364939665	0.014768578	6275.635207	15861.16635	16366.88216	6489.81895	11094.83183	5374.028786	21565.29569	21776.33349	7235.811913	6565.625499	19110.45408	15949.94916	8388.104471	43354.50078	15328.98275	19652.47	81054.30558	20600.88213	43262.04469	58298.41251
M102T349_1	0.432852867	0.00687662	21813.46505	29413.1819	17995.48195	24629.29758	32516.79065	63868.40469	16537.88223	13998.98605	15477.42696	36774.0548	53200.64714	71065.16846	85509.51497	86816.64929	83665.34862	91049.12413	9636.77345	100024.2901	44723.06696	5066.407441
M170T359	2.195367138	0.004851188	5766.250784	47743.03325	45590.04685	40261.29074	76471.96875	78158.86464	48070.80498	60329.52178	49565.36148	50102.82133	70651.43479	18882.86478	14308.0919	14460.9331	16268.96943	29760.16766	19685.52667	20471.11044	6434.21898	17767.34445
M504T180	1.938152724	0.041952594	113855.3331	508689.0752	477832.6607	85851.35565	322975.1438	144611.0483	525840.8916	563014.3027	131409.8925	162572.3492	250312.4588	201284.5639	244865.1815	101091.7068	104147.716	196236.3311	199925.1936	75609.98648	6664.445015	186638.871
M152T260	2.191235181	0.010602902	25126.52116	822328.8572	502321.6685	1034104.045	666501.3825	511178.5367	562675.5221	168849.0715	591441.0328	921817.9009	371504.2719	449423.827	93273.20047	143733.1006	280209.3615	447924.6068	309826.904	407048.002	15004.02287	131857.0632
M339T44	0.368412572	0.010641149	5195.632049	21457.07991	5537.868082	47462.99413	16621.72044	4375.682447	23694.7223	2728.294011	49234.88673	25268.51072	10427.33517	78301.47122	34030.5673	72747.91088	13049.89857	76423.30786	50410.00335	118797.6939	25708.21276	67254.82573
M136T158	0.438447542	0.034627988	351195.4145	160640.551	124192.8092	78291.52443	150881.8223	43567.65639	84412.14915	85776.6478	102531.8542	103282.3396	238112.5674	172129.5816	62769.24151	630608.5732	524299.7128	561672.6245	160429.4089	234618.359	30687.23822	314949.7415
M348T407	1.850933536	0.002740318	37662.81536	123573.9169	101181.6982	145273.5184	128119.055	96323.84938	91995.80367	68328.30055	85130.8992	109598.8136	115063.0284	41994.82261	48253.02001	32762.3023	52328.50011	63508.1315	48821.586	67053.43743	8165.570748	55395.9643
M246T409	2.111209122	0.015013766	95864.84336	690359.2574	295763.7573	512068.6196	736783.1927	307192.0995	387581.4046	135667.4478	456482.4994	329556.1965	150135.1299	245456.2428	110177.4473	84207.66735	302518.2605	174391.748	279146.6117	421176.9659	16839.46262	85646.49568
M276T414	1.760051093	0.025406793	80103.5711	159670.2558	58787.80724	93906.57368	111588.5169	70404.71896	70652.79109	32483.88405	79052.90577	59386.31692	30322.80343	55721.53259	24412.76678	22341.29146	68679.74822	49168.78189	62286.8963	111198.0629	9577.229812	29935.00745
M274T373	2.934341026	0.013325236	101154.9551	99557.22161	19604.97932	75395.74647	53577.22524	24091.72474	24522.62894	12961.24572	26276.91328	26129.14109	10507.22138	19772.26895	7500.482386	6684.8455	25393.37846	24544.69962	25768.17838	26411.50809	2779.846097	8516.896475
M188T255	3.080178608	0.026990782	84688.60129	373392.5098	197833.6662	1109162.51	344398.5067	346284.8169	256286.9491	177911.3234	617175.2563	1250650.158	109190.4084	134447.0081	111622.9224	95640.78054	87215.73748	175715.1015	222506.2938	510902.2158	11667.9572	85737.1628
M146T255	2.757657898	0.029393892	8550.919637	36270.37654	17192.15566	90644.94579	31829.0237	30005.10837	22120.31552	13782.57364	50666.7873	100468.1987	10789.55586	12560.47568	11113.02569	7946.633264	8634.460731	15607.8538	19476.51874	48793.55534	2113.732304	8569.778469
M183T295_2	0.216838461	0.00350485	3049.667046	4189.507351	5992.756998	16033.49304	6559.523322	10686.78283	5118.067328	5258.004167	9598.152938	11745.12043	4092.85754	40826.10022	17620.63011	94308.99089	46578.1017	61319.12658	31265.41915	22278.78245	16447.02307	26043.40861
M136T296	2.515744499	0.019351777	4883.004492	34444.00381	36323.51097	127011.5469	38440.1087	60335.11907	32264.01901	22788.08842	74980.35278	103409.2454	20716.67265	23392.93438	14865.55201	20863.66696	16032.09516	19621.93586	25988.65475	48931.1035	5800.137071	16399.85591
M277T465	1.595183143	0.010477203	102850.7863	159790.3951	94154.07862	123106.7952	138079.4217	80916.13134	123224.6541	71617.00878	95660.88993	160376.9176	89023.97084	72465.85264	70296.50701	98437.8327	53602.41111	129798.3676	35946.22231	107084.5935	7854.882342	56269.96986
M204T446	1.416244606	0.0410741	87812.11585	151478.8331	61827.99324	90207.44451	127925.3307	78555.75233	99287.22153	68034.60008	94138.38487	71682.19679	59360.30803	83252.66321	64976.66604	37879.22301	78773.72525	54949.59471	105942.9675	102051.0881	16145.26481	54005.42336
M284T261	2.162611522	0.008740423	15647.74224	296936.3088	191319.4613	363664.3004	245038.2442	191284.4397	203038.4379	60402.01769	214211.1382	318867.4221	139389.9178	166775.0888	38027.01061	57565.53121	104839.6918	158840.3682	109593.7222	137496.0185	7085.414353	51624.78471
M271T415	1.873016752	0.01385141	38172.38134	71926.24493	38768.88369	117129.8859	65077.80028	57485.54855	37139.91164	20457.77431	56637.08023	67082.5887	15510.41516	38174.62467	22957.11079	22899.69121	26114.54368	49899.21031	28063.13211	61663.25911	12179.37755	26795.44406
M269T293	2.382688787	0.000560936	32482.23481	91751.47308	71725.31973	125328.24	119815.9318	54955.17105	114811.5751	79920.88325	135662.7083	143969.5067	56769.41051	52852.07009	38683.77328	21452.54382	78518.52338	35961.62719	42735.15843	54178.53484	4449.508189	21679.50282
