NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_STRIATED_MUSCLE_CELL_DEVELOPMENT	GOBP_STRIATED_MUSCLE_CELL_DEVELOPMENT	Details ...	28	-0.72332495	-2.7234867	0.0	0.0	0.0	132	tags=61%, list=12%, signal=67%	
GOBP_SARCOMERE_ORGANIZATION	GOBP_SARCOMERE_ORGANIZATION	Details ...	19	-0.7933433	-2.5961626	0.0	0.0	0.0	132	tags=68%, list=12%, signal=76%	
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	Details ...	32	-0.6724212	-2.5788865	0.0	0.0	0.0	132	tags=53%, list=12%, signal=58%	
GOBP_HEART_PROCESS	GOBP_HEART_PROCESS	Details ...	50	-0.5779379	-2.4796288	0.0	2.1530042E-4	0.001	204	tags=56%, list=18%, signal=65%	
GOBP_STRIATED_MUSCLE_CONTRACTION	GOBP_STRIATED_MUSCLE_CONTRACTION	Details ...	45	-0.5965211	-2.470718	0.0	1.7224032E-4	0.001	204	tags=60%, list=18%, signal=70%	
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	Details ...	42	-0.588277	-2.4568775	0.0	1.435336E-4	0.001	329	tags=71%, list=29%, signal=97%	
GOBP_CARDIAC_MUSCLE_CONTRACTION	GOBP_CARDIAC_MUSCLE_CONTRACTION	Details ...	40	-0.5945941	-2.445207	0.0	1.230288E-4	0.001	204	tags=63%, list=18%, signal=74%	
GOBP_MUSCLE_CELL_DIFFERENTIATION	GOBP_MUSCLE_CELL_DIFFERENTIATION	Details ...	66	-0.5236596	-2.4354446	0.0	1.0765021E-4	0.001	132	tags=39%, list=12%, signal=42%	
GOBP_MUSCLE_CONTRACTION	GOBP_MUSCLE_CONTRACTION	Details ...	73	-0.5280809	-2.3987265	0.0	1.9218717E-4	0.002	132	tags=44%, list=12%, signal=46%	
GOBP_CARDIAC_VENTRICLE_DEVELOPMENT	GOBP_CARDIAC_VENTRICLE_DEVELOPMENT	Details ...	19	-0.7217164	-2.3981473	0.0	1.7296844E-4	0.002	129	tags=58%, list=11%, signal=64%	
GOBP_MUSCLE_SYSTEM_PROCESS	GOBP_MUSCLE_SYSTEM_PROCESS	Details ...	82	-0.49917388	-2.3820956	0.0	2.3542589E-4	0.003	132	tags=40%, list=12%, signal=42%	
GOBP_MUSCLE_CELL_DEVELOPMENT	GOBP_MUSCLE_CELL_DEVELOPMENT	Details ...	44	-0.5894697	-2.3802252	0.0	2.1580706E-4	0.003	249	tags=64%, list=22%, signal=78%	
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT	GOBP_MUSCLE_STRUCTURE_DEVELOPMENT	Details ...	100	-0.4917813	-2.374052	0.0	1.9920651E-4	0.003	132	tags=37%, list=12%, signal=38%	
GOBP_MUSCLE_ORGAN_MORPHOGENESIS	GOBP_MUSCLE_ORGAN_MORPHOGENESIS	Details ...	17	-0.74213827	-2.3709843	0.0	1.8497747E-4	0.003	132	tags=71%, list=12%, signal=79%	
GOBP_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS	GOBP_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS	Details ...	17	-0.74213827	-2.3484337	0.0	2.8948442E-4	0.005	132	tags=71%, list=12%, signal=79%	
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT	Details ...	15	-0.74810886	-2.3194647	0.0	4.3411145E-4	0.008	204	tags=73%, list=18%, signal=88%	
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION	GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION	Details ...	48	-0.54068375	-2.3117106	0.0	4.0857546E-4	0.008	132	tags=40%, list=12%, signal=43%	
GOBP_VENTRICULAR_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	GOBP_VENTRICULAR_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	Details ...	16	-0.7066113	-2.3103008	0.0	3.8587683E-4	0.008	129	tags=63%, list=11%, signal=70%	
GOBP_ATP_BIOSYNTHETIC_PROCESS	GOBP_ATP_BIOSYNTHETIC_PROCESS	Details ...	45	-0.5508326	-2.2944694	0.0	3.655675E-4	0.008	329	tags=69%, list=29%, signal=93%	
GOBP_MUSCLE_ORGAN_DEVELOPMENT	GOBP_MUSCLE_ORGAN_DEVELOPMENT	Details ...	54	-0.53931034	-2.2907116	0.0	3.4728914E-4	0.008	204	tags=52%, list=18%, signal=60%	
