NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	Details ...	72	-0.57911986	-2.7017076	0.0	0.0	0.0	346	tags=67%, list=31%, signal=90%	
GOCC_CONTRACTILE_FIBER	GOCC_CONTRACTILE_FIBER	Details ...	84	-0.53649026	-2.5529728	0.0	0.0	0.0	185	tags=46%, list=16%, signal=51%	
GOCC_NADH_DEHYDROGENASE_COMPLEX	GOCC_NADH_DEHYDROGENASE_COMPLEX	Details ...	30	-0.62380946	-2.3570042	0.0	0.0	0.0	360	tags=77%, list=32%, signal=110%	
GOCC_RESPIRASOME	GOCC_RESPIRASOME	Details ...	51	-0.5497615	-2.3401034	0.0	0.0	0.0	346	tags=63%, list=31%, signal=86%	
GOCC_MYOFILAMENT	GOCC_MYOFILAMENT	Details ...	10	-0.81949836	-2.214173	0.0028818443	0.0013306796	0.006	123	tags=90%, list=11%, signal=100%	
GOCC_A_BAND	GOCC_A_BAND	Details ...	18	-0.66690516	-2.1557496	0.0	0.0018898707	0.01	241	tags=61%, list=21%, signal=76%	
GOCC_TRANSPORTER_COMPLEX	GOCC_TRANSPORTER_COMPLEX	Details ...	50	-0.48952088	-2.1071835	0.0	0.003760836	0.023	346	tags=70%, list=31%, signal=97%	
GOCC_I_BAND	GOCC_I_BAND	Details ...	49	-0.4869111	-2.091891	0.0	0.003567097	0.025	84	tags=31%, list=7%, signal=32%	
GOCC_SARCOLEMMA	GOCC_SARCOLEMMA	Details ...	40	-0.52205545	-2.0767353	0.0	0.0045515667	0.035	204	tags=52%, list=18%, signal=62%	
GOCC_SARCOPLASMIC_RETICULUM_MEMBRANE	GOCC_SARCOPLASMIC_RETICULUM_MEMBRANE	Details ...	13	-0.6783822	-2.0330288	0.0030487804	0.0071150945	0.06	126	tags=62%, list=11%, signal=68%	
GOCC_STRIATED_MUSCLE_THIN_FILAMENT	GOCC_STRIATED_MUSCLE_THIN_FILAMENT	Details ...	8	-0.7971886	-1.9993701	0.0	0.009031654	0.083	123	tags=88%, list=11%, signal=98%	
GOCC_DYSTROPHIN_ASSOCIATED_GLYCOPROTEIN_COMPLEX	GOCC_DYSTROPHIN_ASSOCIATED_GLYCOPROTEIN_COMPLEX	Details ...	10	-0.7276119	-1.9690145	0.0028490028	0.012015479	0.119	225	tags=80%, list=20%, signal=99%	
GOCC_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_INNER_MEMBRANE	GOCC_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_INNER_MEMBRANE	Details ...	13	-0.65482724	-1.9605006	0.0056980057	0.012220563	0.13	308	tags=69%, list=27%, signal=94%	
GOCC_MITOCHONDRIAL_ENVELOPE	GOCC_MITOCHONDRIAL_ENVELOPE	Details ...	160	-0.37399116	-1.9555552	0.0	0.011886306	0.135	348	tags=53%, list=31%, signal=66%	
GOCC_SARCOPLASM	GOCC_SARCOPLASM	Details ...	28	-0.5395852	-1.9418682	0.0	0.012488042	0.152	84	tags=32%, list=7%, signal=34%	
GOCC_CARDIAC_MYOFIBRIL	GOCC_CARDIAC_MYOFIBRIL	Details ...	4	-0.96260023	-1.8937659	0.0	0.020203901	0.247	47	tags=100%, list=4%, signal=104%	
GOCC_SARCOPLASMIC_RETICULUM_LUMEN	GOCC_SARCOPLASMIC_RETICULUM_LUMEN	Details ...	5	-0.88856643	-1.8886408	0.0	0.01968712	0.256	31	tags=80%, list=3%, signal=82%	
GOCC_SARCOPLASMIC_RETICULUM	GOCC_SARCOPLASMIC_RETICULUM	Details ...	24	-0.53329074	-1.882255	0.0	0.020029139	0.271	195	tags=46%, list=17%, signal=54%	
GOCC_SUPRAMOLECULAR_POLYMER	GOCC_SUPRAMOLECULAR_POLYMER	Details ...	139	-0.35681826	-1.8734164	0.0	0.02119997	0.293	241	tags=42%, list=21%, signal=47%	
GOCC_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX	GOCC_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX	Details ...	8	-0.7450043	-1.867909	0.005291005	0.02132458	0.307	230	tags=88%, list=20%, signal=109%	
GOCC_M_BAND	GOCC_M_BAND		11	-0.66663855	-1.851434	0.0056657223	0.023843156	0.348	63	tags=36%, list=6%, signal=38%	
GOCC_NEUROMUSCULAR_JUNCTION	GOCC_NEUROMUSCULAR_JUNCTION		9	-0.67371655	-1.8235477	0.0149700595	0.030375777	0.441	125	tags=56%, list=11%, signal=62%	
GOCC_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_III	GOCC_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_III		5	-0.83244205	-1.8223944	0.0071599046	0.029400915	0.444	194	tags=100%, list=17%, signal=120%	
GOCC_JUNCTIONAL_SARCOPLASMIC_RETICULUM_MEMBRANE	GOCC_JUNCTIONAL_SARCOPLASMIC_RETICULUM_MEMBRANE		4	-0.92965275	-1.8199365	0.0	0.029176336	0.456	84	tags=100%, list=7%, signal=108%	
GOCC_DYSTROGLYCAN_COMPLEX	GOCC_DYSTROGLYCAN_COMPLEX		6	-0.77803326	-1.8100389	0.012722646	0.030266486	0.479	198	tags=83%, list=18%, signal=101%	
GOCC_ORGANELLE_INNER_MEMBRANE	GOCC_ORGANELLE_INNER_MEMBRANE		132	-0.3513681	-1.7979698	0.0	0.033070747	0.527	348	tags=52%, list=31%, signal=67%	
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX		105	-0.37789795	-1.7847801	0.0	0.03510313	0.568	348	tags=56%, list=31%, signal=74%	
GOCC_CYTOCHROME_COMPLEX	GOCC_CYTOCHROME_COMPLEX		15	-0.5706645	-1.7786236	0.009090909	0.035541292	0.583	194	tags=40%, list=17%, signal=48%	
GOCC_TROPONIN_COMPLEX	GOCC_TROPONIN_COMPLEX		3	-0.9937722	-1.7542257	0.0	0.041571457	0.648	11	tags=100%, list=1%, signal=101%	
GOCC_MIB_COMPLEX	GOCC_MIB_COMPLEX		9	-0.6470573	-1.750224	0.013550135	0.041349966	0.658	308	tags=78%, list=27%, signal=106%	
GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O	GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O		5	-0.8003565	-1.7283086	0.00982801	0.049398214	0.746	230	tags=100%, list=20%, signal=125%	
GOCC_MUSCLE_MYOSIN_COMPLEX	GOCC_MUSCLE_MYOSIN_COMPLEX		7	-0.6870679	-1.7067899	0.038043477	0.057973247	0.821	59	tags=43%, list=5%, signal=45%	
GOCC_AZUROPHIL_GRANULE_MEMBRANE	GOCC_AZUROPHIL_GRANULE_MEMBRANE		6	-0.7293579	-1.6906736	0.012437811	0.06425908	0.85	251	tags=83%, list=22%, signal=107%	
GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE		5	-0.77944005	-1.6832793	0.024930747	0.06589433	0.864	125	tags=40%, list=11%, signal=45%	
GOCC_LAMININ_COMPLEX	GOCC_LAMININ_COMPLEX		4	-0.8440501	-1.6706469	0.011820331	0.07080885	0.892	93	tags=75%, list=8%, signal=81%	
GOCC_MYOSIN_FILAMENT	GOCC_MYOSIN_FILAMENT		12	-0.56802696	-1.6616685	0.009118541	0.07349734	0.912	64	tags=50%, list=6%, signal=52%	
GOCC_SUPRAMOLECULAR_COMPLEX	GOCC_SUPRAMOLECULAR_COMPLEX		160	-0.31874442	-1.6606768	0.0	0.07213081	0.914	200	tags=32%, list=18%, signal=33%	
GOCC_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O	GOCC_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O		6	-0.7102114	-1.6582755	0.02905569	0.07172227	0.916	230	tags=83%, list=20%, signal=104%	
GOCC_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_PROTON_TRANSPORTING_DOMAIN	GOCC_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_PROTON_TRANSPORTING_DOMAIN		6	-0.7102114	-1.6078961	0.030136986	0.10339502	0.978	230	tags=83%, list=20%, signal=104%	
GOCC_COSTAMERE	GOCC_COSTAMERE		11	-0.5826484	-1.5937452	0.0330033	0.112220116	0.984	225	tags=55%, list=20%, signal=67%	
GOCC_T_TUBULE	GOCC_T_TUBULE		11	-0.567187	-1.5844725	0.02359882	0.11804444	0.988	175	tags=36%, list=16%, signal=43%	
GOCC_ENVELOPE	GOCC_ENVELOPE		193	-0.29570293	-1.5790749	0.0	0.120241135	0.991	348	tags=48%, list=31%, signal=58%	
GOCC_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX	GOCC_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX		9	-0.59485155	-1.573267	0.04657534	0.12357147	0.993	230	tags=78%, list=20%, signal=97%	
GOCC_GLYCOPROTEIN_COMPLEX	GOCC_GLYCOPROTEIN_COMPLEX		11	-0.5691116	-1.5720419	0.044510387	0.1217201	0.993	225	tags=73%, list=20%, signal=90%	
GOCC_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK	GOCC_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK		85	-0.33038604	-1.5673549	0.0	0.12274461	0.995	221	tags=34%, list=20%, signal=39%	
GOCC_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_MEMBRANE	GOCC_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_MEMBRANE		18	-0.46827406	-1.5358111	0.03858521	0.15252833	0.997	308	tags=56%, list=27%, signal=75%	
