NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_STRUCTURAL_CONSTITUENT_OF_MUSCLE	GOMF_STRUCTURAL_CONSTITUENT_OF_MUSCLE	Details ...	24	-0.6813448	-2.374374	0.0	0.0	0.0	172	tags=67%, list=15%, signal=77%	
GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	35	-0.57718307	-2.2738693	0.0	0.0	0.0	360	tags=69%, list=32%, signal=98%	
GOMF_NAD_P_H_DEHYDROGENASE_QUINONE_ACTIVITY	GOMF_NAD_P_H_DEHYDROGENASE_QUINONE_ACTIVITY	Details ...	27	-0.6111475	-2.261994	0.0	0.0	0.0	360	tags=74%, list=32%, signal=106%	
GOMF_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	41	-0.51511055	-2.1095908	0.0	0.0040316405	0.017	360	tags=66%, list=32%, signal=93%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H	Details ...	33	-0.5265393	-2.075684	0.0	0.005735357	0.029	360	tags=73%, list=32%, signal=104%	
GOMF_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	31	-0.53747463	-2.039784	0.0	0.0076124943	0.047	273	tags=58%, list=24%, signal=75%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR	Details ...	29	-0.52451575	-1.9885744	0.0	0.0134853525	0.093	360	tags=72%, list=32%, signal=104%	
GOMF_INORGANIC_MOLECULAR_ENTITY_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_INORGANIC_MOLECULAR_ENTITY_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	34	-0.49976274	-1.9458095	0.0	0.01912821	0.144	300	tags=59%, list=27%, signal=78%	
GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	47	-0.45825267	-1.9446223	0.0	0.017328115	0.147	382	tags=64%, list=34%, signal=93%	
GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	21	-0.54900795	-1.8446163	0.0033112583	0.04710806	0.392	262	tags=57%, list=23%, signal=73%	
GOMF_ANKYRIN_BINDING	GOMF_ANKYRIN_BINDING	Details ...	5	-0.8463209	-1.8046732	0.0	0.06317188	0.509	161	tags=80%, list=14%, signal=93%	
GOMF_ACTIN_FILAMENT_BINDING	GOMF_ACTIN_FILAMENT_BINDING	Details ...	59	-0.3944378	-1.7680682	0.0	0.08387634	0.645	176	tags=41%, list=16%, signal=46%	
GOMF_ACTIN_BINDING	GOMF_ACTIN_BINDING	Details ...	93	-0.3621035	-1.7555475	0.0	0.09026966	0.7	82	tags=25%, list=7%, signal=24%	
GOMF_TITIN_BINDING	GOMF_TITIN_BINDING	Details ...	7	-0.73885393	-1.7513118	0.008130081	0.088283494	0.726	132	tags=71%, list=12%, signal=80%	
GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	41	-0.41418746	-1.6483006	0.004405286	0.20950584	0.965	300	tags=54%, list=27%, signal=70%	
GOMF_CALCIUM_ION_BINDING	GOMF_CALCIUM_ION_BINDING	Details ...	67	-0.36397365	-1.6363251	0.011494253	0.21864745	0.976	84	tags=24%, list=7%, signal=24%	
GOMF_CATION_CHANNEL_ACTIVITY	GOMF_CATION_CHANNEL_ACTIVITY	Details ...	13	-0.54816085	-1.6350697	0.024691358	0.20757858	0.977	268	tags=77%, list=24%, signal=100%	
GOMF_TELETHONIN_BINDING	GOMF_TELETHONIN_BINDING	Details ...	3	-0.9073202	-1.6223458	0.004514673	0.21954317	0.983	37	tags=67%, list=3%, signal=69%	
GOMF_PROTON_CHANNEL_ACTIVITY	GOMF_PROTON_CHANNEL_ACTIVITY	Details ...	9	-0.59485155	-1.609543	0.03504043	0.23092447	0.99	230	tags=78%, list=20%, signal=97%	
GOMF_QUINONE_BINDING	GOMF_QUINONE_BINDING	Details ...	5	-0.73571324	-1.6075195	0.040816326	0.22316092	0.99	209	tags=40%, list=19%, signal=49%	
