ID	adj.P.Val	P.Value	logFC	GeneSymbol
A_33_P3277753	0.0269	5.07E-07	-1.75	ANKRD23
CUST_24288_PI429545376	0.0269	8.20E-07	-1.43	
CUST_30900_PI429545388	0.0531	2.43E-06	-1.02	
CUST_12509_PI429545380	0.0571	3.64E-06	8.72E-01	
A_23_P117851	0.0571	4.35E-06	-2.26	CPLX3
CUST_35042_PI429545380	0.064	5.98E-06	-7.98E-01	
A_23_P134614	0.064	6.84E-06	-1.18	
CUST_33858_PI429545395	0.0915	1.14E-05	-9.12E-01	
CUST_38123_PI429545410	0.0915	1.27E-05	-1.31	
CUST_11192_PI429545402	0.0915	1.55E-05	-1.9	
CUST_35102_PI429545380	0.0915	1.64E-05	-1.58	
CUST_37375_PI429545402	0.0915	1.68E-05	1.38	
A_23_P56578	0.1003	1.99E-05	-9.00E-01	VIT
A_24_P264943	0.1007	2.75E-05	1.52	COMP
A_23_P166616	0.1007	2.80E-05	-8.64E-01	AGTR1
A_24_P260443	0.1007	2.93E-05	1.36	
CUST_34842_PI429545380	0.1007	2.95E-05	-1.88	
CUST_33847_PI429545399	0.1007	3.12E-05	1.44	
CUST_12418_PI429545376	0.1007	3.29E-05	-1.23	
A_23_P74309	0.1007	3.42E-05	-7.60E-01	NOS1AP
CUST_36971_PI429545395	0.1007	3.55E-05	1.55	
A_33_P3247057	0.1007	3.61E-05	-1.04	
A_33_P3257474	0.1007	3.66E-05	-1.39	C15orf60
CUST_370_PI429545395	0.1007	3.78E-05	-1.69	
A_33_P3404814	0.1007	3.84E-05	-1.11	GNAO1
CUST_39415_PI429545406	0.1044	4.47E-05	9.32E-01	
CUST_37415_PI429545402	0.1044	4.53E-05	2.34	
CUST_13658_PI429545384	0.1044	4.73E-05	-1.46	
A_33_P3324775	0.1044	4.91E-05	-1.57	
A_33_P3277752	0.1044	5.01E-05	-1.13	ANKRD23
A_23_P46584	0.1044	5.15E-05	-2.4	
A_23_P14035	0.1044	5.34E-05	-1.38	AKAP3
CUST_2280_PI429545406	0.1044	5.52E-05	-6.98E-01	
CUST_35327_PI429545376	0.1044	5.55E-05	-1.41	
CUST_30349_PI429545402	0.1044	5.75E-05	1.36	
CUST_38376_PI429545399	0.1044	5.85E-05	-1.53	
A_23_P61031	0.1044	5.92E-05	1.03	ZBBX
CUST_30926_PI429545402	0.1044	6.14E-05	-2.79	
CUST_44705_PI429545399	0.1044	6.21E-05	-1.31	
CUST_30815_PI429545384	0.1137	6.94E-05	-1.66	
A_23_P393880	0.1152	7.43E-05	1.03	KIAA1244
CUST_39517_PI429545388	0.1152	7.49E-05	-1.31	
A_23_P56559	0.1152	7.63E-05	1.54	DHRS9
CUST_30929_PI429545376	0.1152	7.82E-05	1.16	
CUST_11972_PI429545376	0.1152	7.91E-05	-3.04	
