NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION	Details ...	17	-0.78283364	-2.5534692	0.0	0.0	0.0	172	tags=88%, list=15%, signal=103%	
REACTOME_MUSCLE_CONTRACTION	REACTOME_MUSCLE_CONTRACTION	Details ...	44	-0.59329826	-2.4911392	0.0	0.0	0.0	179	tags=59%, list=16%, signal=68%	
REACTOME_ION_HOMEOSTASIS	REACTOME_ION_HOMEOSTASIS	Details ...	14	-0.78596395	-2.441362	0.0	0.0	0.0	126	tags=57%, list=11%, signal=64%	
REACTOME_CARDIAC_CONDUCTION	REACTOME_CARDIAC_CONDUCTION	Details ...	15	-0.7444961	-2.4068363	0.0	0.0	0.0	179	tags=60%, list=16%, signal=70%	
REACTOME_LAMININ_INTERACTIONS	REACTOME_LAMININ_INTERACTIONS	Details ...	13	-0.7578208	-2.2417083	0.0	4.4380713E-4	0.003	214	tags=77%, list=19%, signal=94%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	65	-0.5017741	-2.2096517	0.0	6.145023E-4	0.005	346	tags=62%, list=31%, signal=84%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	35	-0.5704147	-2.1724741	0.0	6.355761E-4	0.006	360	tags=71%, list=32%, signal=102%	
REACTOME_CRISTAE_FORMATION	REACTOME_CRISTAE_FORMATION	Details ...	16	-0.6833879	-2.1566894	0.0	6.461859E-4	0.007	242	tags=75%, list=21%, signal=94%	
REACTOME_MITOCHONDRIAL_BIOGENESIS	REACTOME_MITOCHONDRIAL_BIOGENESIS	Details ...	22	-0.61447525	-2.1186728	0.0	0.0017291161	0.021	242	tags=64%, list=21%, signal=79%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	58	-0.47021738	-2.0636866	0.0	0.003210701	0.042	346	tags=59%, list=31%, signal=80%	
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	Details ...	38	-0.49432573	-1.9779925	0.0	0.008326467	0.112	242	tags=53%, list=21%, signal=65%	
REACTOME_STIMULI_SENSING_CHANNELS	REACTOME_STIMULI_SENSING_CHANNELS	Details ...	5	-0.8895833	-1.900566	0.0	0.020194994	0.281	84	tags=80%, list=7%, signal=86%	
REACTOME_ION_CHANNEL_TRANSPORT	REACTOME_ION_CHANNEL_TRANSPORT	Details ...	12	-0.6510562	-1.8209375	0.0065146578	0.04593274	0.556	126	tags=50%, list=11%, signal=56%	
REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	Details ...	5	-0.827645	-1.7854515	0.0050125313	0.061110858	0.698	26	tags=60%, list=2%, signal=61%	
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	Details ...	7	-0.7311469	-1.7652277	0.012787724	0.06918817	0.768	230	tags=86%, list=20%, signal=107%	
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	Details ...	7	-0.69284034	-1.7136143	0.023195876	0.10783558	0.911	229	tags=71%, list=20%, signal=89%	
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	Details ...	7	-0.69497246	-1.665416	0.023316063	0.15733689	0.981	288	tags=71%, list=26%, signal=95%	
REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS	REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS	Details ...	3	-0.91360384	-1.6329409	0.011600928	0.19514534	0.992	69	tags=67%, list=6%, signal=71%	
