NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
WP_OXIDATIVE_PHOSPHORYLATION	WP_OXIDATIVE_PHOSPHORYLATION	Details ...	33	-0.6371942	-2.4691277	0.0	0.0	0.0	360	tags=79%, list=32%, signal=112%	
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY	WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY	Details ...	20	-0.73525876	-2.4427247	0.0	0.0	0.0	172	tags=85%, list=15%, signal=99%	
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	Details ...	56	-0.5125379	-2.2590568	0.0	2.783019E-4	0.001	346	tags=61%, list=31%, signal=83%	
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	Details ...	33	-0.5620927	-2.2035563	0.0	4.0986275E-4	0.002	360	tags=70%, list=32%, signal=99%	
WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	Details ...	23	-0.58795667	-2.0781546	0.0	0.0033395274	0.021	198	tags=61%, list=18%, signal=72%	
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	Details ...	53	-0.48213547	-2.0298674	0.0	0.0050937477	0.038	346	tags=62%, list=31%, signal=86%	
WP_ACUTE_VIRAL_MYOCARDITIS	WP_ACUTE_VIRAL_MYOCARDITIS	Details ...	12	-0.6611571	-1.9193403	0.0085227275	0.012839374	0.104	204	tags=67%, list=18%, signal=81%	
WP_CARDIAC_PROGENITOR_DIFFERENTIATION	WP_CARDIAC_PROGENITOR_DIFFERENTIATION	Details ...	6	-0.7824393	-1.7867581	0.010526316	0.052081816	0.415	47	tags=67%, list=4%, signal=69%	
WP_MITOCHONDRIAL_COMPLEX_III_ASSEMBLY	WP_MITOCHONDRIAL_COMPLEX_III_ASSEMBLY	Details ...	6	-0.7448763	-1.7311579	0.015584416	0.08148045	0.594	194	tags=83%, list=17%, signal=100%	
WP_MITOCHONDRIAL_IMMUNE_RESPONSE_TO_SARSCOV2	WP_MITOCHONDRIAL_IMMUNE_RESPONSE_TO_SARSCOV2	Details ...	7	-0.7106489	-1.6986653	0.03617571	0.100329295	0.703	312	tags=86%, list=28%, signal=118%	
WP_SMALL_CELL_LUNG_CANCER	WP_SMALL_CELL_LUNG_CANCER	Details ...	11	-0.5944936	-1.6814338	0.016713092	0.106601365	0.757	214	tags=64%, list=19%, signal=78%	
WP_LIPID_METABOLISM_PATHWAY	WP_LIPID_METABOLISM_PATHWAY	Details ...	5	-0.7780565	-1.6754452	0.012787724	0.102864	0.779	158	tags=80%, list=14%, signal=93%	
WP_MALIGNANT_PLEURAL_MESOTHELIOMA	WP_MALIGNANT_PLEURAL_MESOTHELIOMA	Details ...	22	-0.48050174	-1.6471423	0.020833334	0.12252658	0.869	214	tags=55%, list=19%, signal=66%	
WP_AMPACTIVATED_PROTEIN_KINASE_SIGNALING	WP_AMPACTIVATED_PROTEIN_KINASE_SIGNALING	Details ...	5	-0.77737695	-1.6238084	0.02849741	0.13985643	0.923	158	tags=80%, list=14%, signal=93%	
WP_FATTY_ACID_BIOSYNTHESIS	WP_FATTY_ACID_BIOSYNTHESIS	Details ...	4	-0.81370187	-1.5871378	0.02955665	0.1745983	0.962	95	tags=50%, list=8%, signal=54%	
WP_ALPHA_6_BETA_4_SIGNALING_PATHWAY	WP_ALPHA_6_BETA_4_SIGNALING_PATHWAY	Details ...	8	-0.5905127	-1.5025364	0.06027397	0.32455617	0.998	93	tags=50%, list=8%, signal=54%	
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	Details ...	4	-0.7432377	-1.4931692	0.078341015	0.33101726	1.0	158	tags=75%, list=14%, signal=87%	
WP_GENES_CONTROLLING_NEPHROGENESIS	WP_GENES_CONTROLLING_NEPHROGENESIS	Details ...	4	-0.7343123	-1.4449701	0.0990099	0.45303583	1.0	153	tags=75%, list=14%, signal=86%	
WP_DISRUPTION_OF_POSTSYNAPTIC_SIGNALING_BY_CNV	WP_DISRUPTION_OF_POSTSYNAPTIC_SIGNALING_BY_CNV	Details ...	6	-0.63073194	-1.4336694	0.09756097	0.46610865	1.0	126	tags=50%, list=11%, signal=56%	
WP_BIOTIN_METABOLISM_INCLUDING_IMDS	WP_BIOTIN_METABOLISM_INCLUDING_IMDS	Details ...	3	-0.79626334	-1.4126412	0.091533184	0.51061565	1.0	233	tags=100%, list=21%, signal=126%	
